artist,identifier,fans,rmse16,rmse32,rmse64
Volumes,b20ef0a01c6c97739e08335394dc4214,1,0.191517,0.192816,0.193957
Wage War,e2807c5023e302801ce3bf94e4b0c2b9,41090,0.771702,0.774137,0.775628
Wake Me,e02c0c8d515882697bd7711cdd1bb30e,313,0.000425,0.000173,0.000330
We Butter The Bread With Butter,a7295201898e6705e1808028b8b789b4,37724,0.374500,0.382995,0.389035
We Came As Romans,724efa2a1f1b75a487e330d40c347207,135675,0.719036,0.725670,0.732585
We Rise The Tides,2e73b2a15ac072d399da900f18db99c5,410,0.791783,0.794216,0.795756
What Lies Below,f14be320661b21fda2f0c238602d3e39,800,0.440046,0.446770,0.450640
Will Ramos,9e0011ea535afb88f4b008311505fa86,2832,0.664631,0.669749,0.673582
"Woe, Is Me",f03e6ab2e55583288cacf14bdb1b45f5,1330,0.538801,0.549193,0.556657
Writing the Future,7fb7e95e14192197df0da906ec29ae70,450,0.321512,0.324489,0.326755
lionfight,a65ea0edbeb97d534110f10a3a7ed603,119,0.692148,0.693390,0.694169
spill.,02a21a963b952e91eb4b722587c7fd4d,4,0.511686,0.529645,0.536927
